value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.01408962532877922,-0.10205078125,0.03125,-0.189453125,0.7585315704345703,0.0306396484375,0.142578125,-0.171875,2.05222749710083,0.5196952819824219,0
0.05112495645880699,-35.75,-2.125,-38.25,0.511138916015625,-36.5,-4.40625,-39.0,9.508769989013672,0.24437350034713745,10000
0.0921822115778923,-53.5,0.87890625,-60.75,0.8774703741073608,-54.0,-0.166015625,-61.25,53.39921569824219,0.22355413436889648,20000
0.13981041312217712,-57.75,-1.3515625,-70.5,0.9847973585128784,-58.0,0.2216796875,-71.0,80.21304321289062,0.20888158679008484,30000
0.12340784072875977,-60.5,-3.703125,-76.5,0.8938369154930115,-61.0,-4.0625,-77.0,39.34429931640625,0.20949801802635193,40000
0.12153328955173492,-58.75,0.244140625,-80.5,1.4344608783721924,-59.25,0.380859375,-81.0,72.79310607910156,0.20876528322696686,50000
0.126322939991951,-59.25,-4.8125,-82.5,1.1156190633773804,-60.0,-7.03125,-83.0,50.503936767578125,0.18349571526050568,60000
0.14976881444454193,-62.0,-0.054443359375,-84.0,1.314540982246399,-62.0,-0.014892578125,-84.0,96.29126739501953,0.17847436666488647,70000
0.1307024508714676,-62.0,0.66796875,-84.5,1.4094390869140625,-62.5,-0.11669921875,-84.5,38.3382568359375,0.2116258293390274,80000
0.10969477146863937,-62.25,-0.55859375,-85.0,1.0160378217697144,-62.5,-0.7890625,-85.0,58.492313385009766,0.17525199055671692,90000
0.1666553020477295,-61.0,-0.06298828125,-85.0,1.8408063650131226,-61.5,0.1640625,-85.5,52.58774948120117,0.18519321084022522,100000
0.14200715720653534,-62.25,0.10693359375,-85.5,0.7393589019775391,-62.75,-0.734375,-86.0,86.92597198486328,0.17877286672592163,110000
0.17308807373046875,-61.75,-0.5703125,-86.0,1.0336400270462036,-61.75,-1.8203125,-86.0,76.5965576171875,0.16134768724441528,120000
0.3400760889053345,-63.25,-7.78125,-86.5,2.168177366256714,-63.5,-9.125,-86.5,93.0339584350586,0.17135055363178253,130000
0.15029564499855042,-62.5,-0.77734375,-87.0,1.0366108417510986,-63.25,-1.2109375,-87.5,26.144062042236328,0.1757362186908722,140000
0.13218627870082855,-61.5,-0.76953125,-87.5,1.2476985454559326,-62.0,-0.86328125,-87.5,57.154510498046875,0.16911455988883972,150000
0.09337873756885529,-61.25,0.7421875,-88.0,0.959010124206543,-61.75,-0.27734375,-88.0,61.377342224121094,0.1643219143152237,160000
0.15283316373825073,-62.25,0.1396484375,-88.5,2.8350913524627686,-62.5,0.494140625,-88.5,48.92666244506836,0.17563053965568542,170000
0.11933475732803345,-61.75,0.57421875,-89.0,0.5282812118530273,-62.25,-0.12109375,-89.0,52.35906982421875,0.15801197290420532,180000
0.1539154052734375,-62.5,-10.375,-89.5,1.3143303394317627,-63.0,-10.6875,-89.5,45.791114807128906,0.1756984144449234,190000
0.2750611901283264,-60.75,-0.1611328125,-90.0,1.0163918733596802,-61.0,0.2001953125,-90.0,97.76760864257812,0.1523618996143341,200000
0.17184218764305115,-63.5,-1.6328125,-90.5,0.9295340776443481,-63.75,-1.703125,-90.5,60.34828567504883,0.1764214187860489,210000
0.10159912705421448,-64.5,-11.5625,-91.0,0.9924124479293823,-65.0,-12.1875,-91.0,37.340694427490234,0.1678004413843155,220000
0.1656719446182251,-62.75,0.69140625,-91.0,0.9584895968437195,-63.0,0.314453125,-91.5,89.67951202392578,0.1646580547094345,230000
0.14116859436035156,-63.5,-3.9375,-92.0,0.8264778852462769,-63.75,-1.8515625,-92.0,62.92849349975586,0.1684020459651947,240000
